Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
2019-02-21 23:45:34.738,0.133,0.305,0.926
2019-02-21 23:45:34.750,0.133,0.305,0.934
2019-02-21 23:45:34.763,0.137,0.305,0.941
2019-02-21 23:45:34.775,0.133,0.313,0.941
2019-02-21 23:45:34.788,0.125,0.316,0.945
2019-02-21 23:45:34.800,0.121,0.320,0.938
2019-02-21 23:45:34.813,0.125,0.328,0.934
2019-02-21 23:45:34.825,0.117,0.316,0.930
2019-02-21 23:45:34.838,0.125,0.309,0.926
2019-02-21 23:45:34.850,0.125,0.309,0.934
2019-02-21 23:45:34.863,0.133,0.305,0.938
2019-02-21 23:45:34.875,0.133,0.301,0.941
2019-02-21 23:45:34.888,0.133,0.301,0.938
2019-02-21 23:45:34.900,0.137,0.301,0.941
2019-02-21 23:45:34.913,0.133,0.301,0.938
2019-02-21 23:45:34.925,0.129,0.305,0.934
2019-02-21 23:45:34.938,0.129,0.305,0.938
2019-02-21 23:45:34.950,0.129,0.309,0.930
2019-02-21 23:45:34.963,0.133,0.313,0.934
2019-02-21 23:45:34.975,0.129,0.309,0.934
2019-02-21 23:45:34.988,0.133,0.309,0.934
2019-02-21 23:45:35.000,0.121,0.309,0.930
2019-02-21 23:45:35.013,0.117,0.305,0.938
2019-02-21 23:45:35.025,0.121,0.305,0.930
2019-02-21 23:45:35.038,0.125,0.305,0.926
2019-02-21 23:45:35.050,0.133,0.309,0.930
2019-02-21 23:45:35.063,0.133,0.309,0.941
2019-02-21 23:45:35.075,0.125,0.301,0.941
2019-02-21 23:45:35.088,0.129,0.301,0.941
2019-02-21 23:45:35.100,0.129,0.305,0.941
2019-02-21 23:45:35.113,0.133,0.305,0.934
2019-02-21 23:45:35.125,0.129,0.305,0.930
2019-02-21 23:45:35.138,0.133,0.313,0.934
2019-02-21 23:45:35.150,0.133,0.309,0.930
2019-02-21 23:45:35.163,0.133,0.309,0.926
2019-02-21 23:45:35.175,0.133,0.305,0.926
2019-02-21 23:45:35.188,0.133,0.305,0.938
2019-02-21 23:45:35.200,0.133,0.301,0.938
2019-02-21 23:45:35.213,0.133,0.305,0.930
2019-02-21 23:45:35.225,0.129,0.305,0.926
2019-02-21 23:45:35.238,0.129,0.305,0.930
2019-02-21 23:45:35.250,0.129,0.305,0.930
2019-02-21 23:45:35.263,0.129,0.309,0.938
2019-02-21 23:45:35.275,0.133,0.305,0.930
2019-02-21 23:45:35.288,0.133,0.305,0.930
2019-02-21 23:45:35.300,0.133,0.309,0.934
2019-02-21 23:45:35.313,0.133,0.305,0.938
2019-02-21 23:45:35.325,0.137,0.309,0.938
2019-02-21 23:45:35.338,0.133,0.309,0.941
2019-02-21 23:45:35.350,0.133,0.309,0.934
2019-02-21 23:45:35.363,0.133,0.309,0.938
2019-02-21 23:45:35.375,0.129,0.309,0.938
2019-02-21 23:45:35.388,0.125,0.309,0.938
